"","year","month","snow","tmax","tmin"
"292","2008","11",13,2.2,-0.6
"293","2008","12",13,0,-2.2
"294","2008","12",20,4.4,-9.4
"295","2008","12",25,-3.3,-9.4
"296","2008","12",20,-5,-14.4
"297","2008","12",8,-1.7,-6.7
"298","2008","12",38,-2.2,-13.3
"299","2008","12",8,-1.1,-5.6
"300","2008","12",38,1.7,-6.7
"301","2008","12",25,0.6,-11.1
"302","2008","12",33,-0.6,-17.2
"303","2008","12",25,-6.7,-13.9
"304","2008","12",13,1.7,-7.8
"305","2008","12",8,-1.7,-12.8
"306","2008","12",25,4.4,-4.4
"307","2008","12",33,-6.7,-20.6
"308","2009","01",25,-1.1,-6.7
"309","2009","01",8,1.1,-5.6
"310","2009","01",20,2.8,-3.9
"311","2009","01",51,-2.2,-10
"312","2009","01",5,-3.9,-8.9
"313","2009","01",13,-4.4,-13.3
"314","2009","01",51,-0.6,-21.1
"315","2009","01",33,-10.6,-22.2
"316","2009","01",25,-10,-18.9
"317","2009","01",25,-9.4,-13.9
"318","2009","01",38,-3.9,-17.8
"319","2009","01",13,-6.1,-17.2
"320","2009","01",8,7.8,-12.2
"321","2009","01",8,-8.9,-20
"322","2009","01",8,-4.4,-15
"323","2009","01",25,-6.7,-11.1
"324","2009","01",25,-3.9,-15
"325","2009","01",13,-2.2,-7.8
"326","2009","11",13,2.8,-4.4
"327","2009","11",25,3.3,-2.2
"328","2009","11",25,12.8,-2.2
"329","2009","11",13,1.7,-3.9
"330","2009","12",13,6.7,-0.6
"331","2009","12",25,-1.1,-7.2
"332","2009","12",13,-1.1,-7.2
"333","2009","12",13,0.6,-2.8
"334","2009","12",76,1.7,-2.2
"335","2009","12",13,5,-5.6
"336","2009","12",76,-3.9,-8.9
"337","2009","12",25,0.6,-6.7
"338","2009","12",76,2.2,-7.2
"339","2009","12",38,-5,-9.4
"340","2009","12",25,-1.1,-6.1
"341","2009","12",13,-4.4,-9.4
"342","2009","12",8,-3.3,-6.7
"343","2009","12",76,2.2,-6.7
"344","2009","12",38,-6.1,-15
"345","2009","12",38,1.1,-2.8
"346","2010","01",33,0,-12.8
"347","2010","01",38,-10.6,-14.4
"348","2010","01",25,-9.4,-11.7
"349","2010","01",25,-7.8,-11.7
"350","2010","01",25,-5.6,-8.9
"351","2010","01",76,-6.1,-7.8
"352","2010","01",38,-6.1,-12.8
"353","2010","01",13,-5,-12.8
"354","2010","01",8,7.2,-2.2
"355","2010","01",13,0.6,-12.2
"356","2010","01",8,9.4,-3.3
"357","2010","01",51,-1.1,-9.4
"358","2010","01",13,-5,-10.6
"359","2006","01",13,-1.7,-6.7
"360","2006","01",25,6.1,-9.4
"361","2006","12",76,-4.4,-7.2
"362","2006","12",51,-2.2,-13.3
"363","2006","12",25,-4.4,-10.6
"364","2007","01",25,5,-4.4
"365","2007","01",25,0.6,-13.3
"366","2007","01",25,-7.8,-19.4
"367","2007","01",25,-3.9,-7.2
"368","2007","01",51,-3.3,-10.6
"369","2007","01",25,-3.9,-13.9
"370","2007","01",25,-9.4,-14.4
"371","2007","01",76,-5.6,-11.7
"372","2008","11",25,0,-7.2
"373","2008","11",25,-2.2,-12.8
"374","2008","11",25,-4.4,-12.2
"375","2008","11",25,-3.9,-15.6
"376","2008","11",25,1.7,-1.1
"377","2008","12",25,3.3,-4.4
"378","2008","12",25,0,-6.7
"379","2008","12",25,2.8,-5.6
"380","2008","12",76,-0.6,-17.2
"381","2008","12",25,-4.4,-10.6
"382","2008","12",25,-9.4,-15.6
"383","2008","12",51,-0.6,-12.2
"384","2009","01",25,-6.1,-16.1
"385","2009","01",25,1.1,-16.1
"386","2009","01",76,2.2,-5
"387","2009","01",25,-5.6,-8.3
"388","2009","01",25,-10.6,-16.7
"389","2009","01",51,-7.2,-25
"390","2009","01",25,-2.2,-29.4
"391","2009","01",51,-4.4,-12.2
"392","2010","01",76,-2.8,-6.7
"393","2010","01",25,-6.7,-12.2
"394","2010","01",25,-6.1,-11.1
"395","2010","01",51,-2.2,-6.1
"396","2010","01",25,-3.3,-16.1
"397","2010","12",25,-2.2,-5
"398","2010","12",76,-1.7,-4.4
"399","2010","12",25,-1.7,-7.2
"400","2010","12",51,-8.3,-13.9
"401","2010","12",51,-6.7,-10
"402","2010","12",25,-3.9,-8.3
"403","2010","12",25,-7.8,-11.1
"404","2006","01",10,-3.3,-3.9
"405","2006","01",38,-1.7,-9.4
"406","2006","01",30,6.7,-6.7
"407","2006","01",61,-5.6,-12.2
"408","2006","01",25,-1.1,-7.8
"409","2006","01",25,-3.9,-11.1
"410","2006","11",51,1.7,-4.4
"411","2006","11",51,3.9,-2.8
"412","2006","12",25,-3.9,-5.6
"413","2006","12",25,-1.7,-8.9
"414","2006","12",33,-3.9,-15
"415","2006","12",25,0,-2.8
"416","2007","01",38,0,-6.1
"417","2007","01",76,-2.2,-7.8
"418","2007","01",13,3.3,-14.4
"419","2007","01",38,-2.2,-5.6
"420","2007","01",51,-6.7,-8.9
"421","2007","01",51,-0.6,-6.7
"422","2007","01",13,-2.2,-6.1
"423","2007","01",38,-8.3,-13.3
"424","2007","01",13,1.1,-22.2
"425","2007","01",43,-7.8,-13.9
"426","2007","01",20,-4.4,-18.3
"427","2007","01",41,-5,-13.3
"428","2007","11",25,0.6,-2.8
"429","2007","11",13,1.7,-1.7
"430","2007","12",13,-5,-8.9
"431","2007","12",13,0,-5
"432","2007","12",38,-5,-20.6
"433","2007","12",25,-4.4,-10
"434","2007","12",25,0.6,-2.2
"435","2008","01",38,1.1,-3.9
"436","2008","01",13,0.6,-5
"437","2008","01",10,-1.7,-4.4
"438","2008","01",15,-11.7,-15.6
"439","2008","01",13,-6.7,-16.1
"440","2008","01",25,-5.6,-9.4
"441","2008","01",38,-0.6,-8.9
"442","2008","11",25,0,-1.1
"443","2008","11",51,2.8,-0.6
"444","2008","11",76,1.1,-3.3
"445","2008","11",25,-2.2,-8.9
"446","2008","11",25,-2.8,-15
"447","2008","11",36,-0.6,-14.4
"448","2008","11",41,0.6,-8.9
"449","2008","11",51,1.7,-2.2
"450","2008","11",64,0,-4.4
"451","2008","11",13,0.6,-1.7
"452","2008","11",51,2.2,-2.2
"453","2008","12",13,-3.9,-9.4
"454","2008","12",25,-6.1,-8.9
"455","2008","12",38,-1.1,-11.7
"456","2008","12",38,1.1,-5.6
"457","2008","12",25,-0.6,-12.2
"458","2008","12",25,-6.7,-17.2
"459","2008","12",13,7.8,-13.3
"460","2009","01",25,-4.4,-22.8
"461","2009","01",13,-2.2,-6.1
"462","2009","01",25,1.7,-16.1
"463","2009","01",25,-4.4,-5.6
"464","2009","01",64,-4.4,-11.7
"465","2009","01",25,-6.1,-9.4
"466","2009","01",13,-3.3,-11.7
"467","2009","01",38,-11.1,-24.4
"468","2009","01",38,-10.6,-23.3
"469","2009","01",13,-13.9,-21.1
"470","2009","01",13,-3.9,-26.7
"471","2009","01",51,-6.7,-17.8
"472","2009","01",13,-7.2,-17.2
"473","2009","01",76,0,-14.4
"474","2009","01",76,-3.3,-9.4
"475","2009","01",13,-4.4,-8.9
"476","2009","01",13,-0.6,-14.4
"477","2009","12",13,6.1,-3.9
"478","2009","12",5,6.1,-4.4
"479","2009","12",25,1.1,-6.1
"480","2009","12",46,5.6,-2.8
"481","2009","12",51,0.6,-9.4
"482","2009","12",51,2.8,-9.4
"483","2009","12",48,0.6,-8.3
"484","2009","12",3,-3.9,-9.4
"485","2009","12",8,-6.1,-16.1
"486","2009","12",23,-0.6,-8.9
"487","2009","12",8,-3.3,-14.4
"488","2010","01",25,0.6,-5
"489","2010","01",5,-3.9,-12.8
"490","2010","01",33,-7.8,-10.6
"491","2010","01",51,-6.1,-11.1
"492","2010","01",43,-5,-7.8
"493","2010","01",46,-2.8,-10
"494","2010","01",81,-5.6,-12.8
"495","2010","01",15,-5,-13.3
"496","2010","01",3,0,-10.6
"497","2010","01",8,6.7,-3.3
"498","2010","01",10,0,-4.4
"499","2010","01",3,-1.1,-20.6
"500","2010","01",18,-7.8,-15.6
"501","2010","11",38,0.6,-3.9
"502","2010","11",25,0.6,-1.1
"503","2010","12",79,-1.7,-5.6
"504","2010","12",5,-1.1,-5.6
"505","2010","12",5,-1.1,-6.7
"506","2010","12",30,-2.2,-7.8
"507","2010","12",38,-2.8,-5.6
"508","2010","12",25,-3.3,-6.7
"509","2010","12",36,-3.3,-7.8
"510","2010","12",15,-8.3,-13.9
"511","2010","12",3,-5.6,-10.6
"512","2010","12",51,-2.8,-8.9
"513","2010","12",13,-2.2,-13.3
"514","2010","12",3,-1.7,-7.2
"515","2010","12",15,-3.9,-9.4
"516","2010","12",5,-1.1,-11.7
"517","2010","12",41,-5.6,-11.7
"518","2006","01",69,0.6,-4.4
"519","2006","01",5,1.7,-1.1
"520","2006","01",5,3.9,-2.8
"521","2006","01",23,-2.8,-9.4
"522","2006","01",23,13.3,-12.2
"523","2006","01",25,-11.7,-17.8
"524","2006","01",5,2.8,-7.8
"525","2006","01",8,2.8,-5
"526","2006","01",18,3.3,-5
"527","2006","01",53,-6.1,-12.8
"528","2006","12",5,6.1,-1.7
"529","2006","12",79,1.1,-12.2
"530","2006","12",33,-2.8,-10.6
"531","2006","12",48,3.9,-2.2
"532","2006","12",10,0.6,-2.2
"533","2006","12",5,3.3,-2.2
"534","2007","01",81,-3.9,-11.1
"535","2007","01",30,2.8,-9.4
"536","2007","01",36,5.6,-7.8
"537","2007","01",33,0.6,-17.8
"538","2007","01",28,0,-6.1
"539","2007","01",61,1.1,-8.3
"540","2007","01",33,-6.7,-18.9
"541","2007","01",20,-5.6,-18.3
"542","2007","01",28,-3.3,-8.3
"543","2007","01",18,0,-8.3
"544","2007","01",36,-1.1,-12.8
"545","2007","01",28,-1.1,-12.8
"546","2007","01",46,-4.4,-16.1
"547","2007","01",15,0,-5.6
"548","2007","01",41,-4.4,-11.7
"549","2007","01",71,-3.9,-10
"550","2007","11",23,6.7,0
"551","2007","11",61,1.1,-1.7
"552","2007","11",41,3.3,-4.4
"553","2007","11",8,-1.1,-10
"554","2007","12",91,-3.9,-12.2
"555","2007","12",36,-4.4,-11.7
"556","2007","12",18,-1.1,-3.9
"557","2007","12",18,3.9,-1.1
"558","2007","12",97,-4.4,-13.9
"559","2007","12",46,-3.9,-8.3
"560","2007","12",20,2.2,-1.7
"561","2008","01",10,2.8,-3.3
"562","2008","01",53,-7.8,-18.9
"563","2008","01",18,2.8,-2.2
"564","2008","01",53,0,-7.8
"565","2008","01",8,-1.1,-8.3
"566","2008","01",15,-2.8,-9.4
"567","2008","01",18,-2.8,-10
"568","2008","01",18,-1.1,-6.7
"569","2008","01",8,6.7,-10
"570","2008","11",33,2.8,-5.6
"571","2008","11",36,-2.2,-6.7
"572","2008","11",8,-1.1,-6.7
"573","2008","11",28,-1.7,-11.1
"574","2008","11",71,-3.9,-14.4
"575","2008","11",10,3.3,-1.1
"576","2008","11",15,2.2,0
"577","2008","12",10,-2.2,-7.2
"578","2008","12",20,-2.8,-12.2
"579","2008","12",28,-2.8,-12.2
"580","2008","12",5,6.7,-5.6
"581","2008","12",71,-2.2,-11.1
"582","2008","12",81,0,-5.6
"583","2008","12",81,-3.9,-15
"584","2008","12",20,1.1,-13.3
"585","2008","12",10,-1.1,-8.9
"586","2008","12",5,5,-1.7
"587","2009","01",66,-7.2,-13.9
"588","2009","01",48,-0.6,-4.4
"589","2009","01",41,0,-3.9
"590","2009","01",74,-2.8,-8.3
"591","2009","01",15,-6.7,-14.4
"592","2009","01",20,0.6,-14.4
"593","2009","01",15,-12.2,-15
"594","2009","01",8,-10,-18.9
"595","2009","01",66,-7.8,-18.3
"596","2009","01",56,-3.3,-8.3
"597","2009","01",79,-6.1,-12.2
"598","2009","01",5,5.6,-10
"599","2009","01",41,-2.8,-10.6
"600","2009","01",81,-1.1,-7.8
"601","2009","12",23,5,-1.7
"602","2009","12",79,1.7,-1.7
"603","2009","12",99,5,-5.6
"604","2009","12",84,-4.4,-9.4
"605","2009","12",48,-9.4,-16.7
"606","2009","12",30,-2.8,-8.3
"607","2009","12",23,-1.7,-8.3
"608","2009","12",53,-5.6,-10
"609","2009","12",23,5.6,-1.1
"610","2009","12",56,0,-12.8
"611","2009","12",46,-5.6,-13.9
"612","2009","12",20,-2.2,-5.6
"613","2010","01",23,1.1,-2.8
"614","2010","01",89,1.7,-10.6
"615","2010","01",53,-4.4,-7.8
"616","2010","01",28,-2.8,-8.3
"617","2010","01",53,-6.7,-11.7
"618","2010","01",48,-3.3,-12.2
"619","2010","01",28,-4.4,-10
"620","2010","01",28,2.8,-1.1
"621","2010","01",10,0,-5
"622","2010","01",8,-0.6,-6.1
"623","2010","01",18,1.7,-2.8
"624","2010","01",81,-1.7,-13.3
"625","2010","01",48,-10.6,-21.1
"626","2010","11",10,6.7,0
"627","2010","11",5,16.7,0.6
"628","2010","11",15,5.6,-2.2
"629","2010","12",53,15,-3.3
"630","2010","12",15,1.1,-6.1
"631","2010","12",43,-1.1,-5.6
"632","2010","12",53,-2.8,-6.1
"633","2010","12",30,-3.3,-10
"634","2010","12",8,-7.2,-17.2
"635","2010","12",15,1.7,-7.8
"636","2010","12",79,0,-11.7
"637","2010","12",91,-8.3,-11.7
"638","2010","12",97,-5,-9.4
"639","2010","12",18,-2.2,-9.4
"640","2010","12",36,-1.7,-12.8
"641","2010","12",33,-2.2,-4.4
"642","2010","12",43,-2.8,-5.6
"643","2010","12",10,-2.8,-5
"644","2010","12",10,-3.3,-6.1
"645","2010","12",5,-6.7,-10.6
"646","2010","12",8,-2.8,-10
"647","2010","12",3,-1.1,-3.3
"648","2006","01",5,3.9,-2.8
"649","2006","01",25,3.9,-4.4
"650","2006","01",51,0.6,-7.8
"651","2006","12",13,18.9,2.2
"652","2006","12",25,1.1,-11.1
"653","2007","01",13,8.3,-1.7
"654","2007","01",25,7.8,-6.1
"655","2007","01",25,-5.6,-15
"656","2007","01",13,-5,-13.3
"657","2007","01",25,-1.1,-12.8
"658","2007","01",51,-8.9,-15.6
"659","2007","01",51,-2.2,-11.1
"660","2007","12",76,3.9,-5.6
"661","2007","12",51,-4.4,-6.1
"662","2008","01",5,1.1,-2.2
"663","2008","01",71,2.8,-8.9
"664","2008","01",25,-8.3,-17.8
"665","2008","01",51,-1.1,-3.9
"666","2008","01",25,-1.1,-6.7
"667","2008","01",25,-4.4,-8.3
"668","2008","11",25,2.8,-3.3
"669","2008","11",13,-1.7,-7.2
"670","2008","11",13,3.9,-1.1
"671","2008","12",25,-2.2,-11.1
"672","2008","12",38,1.1,-5
"673","2009","01",25,3.9,-2.2
"674","2009","01",25,-1.7,-6.7
"675","2009","01",76,-5,-10
"676","2009","01",13,-9.4,-14.4
"677","2009","01",13,-4.4,-16.7
"678","2009","01",13,-6.1,-12.2
"679","2009","12",13,-0.6,-3.3
"680","2009","12",76,0.6,-1.7
"681","2009","12",51,5,-6.7
"682","2009","12",25,-5,-9.4
"683","2010","01",25,-6.1,-8.9
"684","2010","01",51,-2.2,-8.3
"685","2010","01",25,-3.3,-10.6
"686","2010","01",13,2.8,-1.1
"687","2010","01",25,-0.6,-13.9
"688","2010","12",51,14.4,-2.8
"689","2010","12",51,-2.2,-6.1
"690","2010","12",25,-3.3,-7.2
"691","2010","12",13,-2.2,-12.2
"692","2010","12",13,-8.9,-11.7
"693","2010","12",13,-1.7,-6.7
"694","2010","12",25,-2.8,-5.6
"695","2006","01",28,0.6,-4.4
"696","2006","01",43,7.2,-9.4
"697","2006","01",5,-8.9,-13.9
"698","2006","01",25,6.7,-10
"699","2007","01",25,0.6,-6.7
"700","2007","01",25,1.1,-7.8
"701","2007","01",76,-0.6,-7.8
"702","2007","01",25,-5,-16.1
"703","2007","01",13,-3.3,-7.2
"704","2007","01",51,-4.4,-12.8
"705","2007","12",38,0,-9.4
"706","2007","12",38,2.2,-1.1
"707","2008","01",33,3.3,-10
"708","2008","01",25,0,-3.3
"709","2008","01",25,2.2,-8.3
"710","2008","01",36,-3.3,-11.1
"711","2008","11",30,-1.1,-12.2
"712","2008","11",13,-3.3,-11.1
"713","2008","11",13,2.8,0
"714","2008","12",3,6.7,-1.1
"715","2008","12",13,-1.7,-9.4
"716","2008","12",3,3.3,-4.4
"717","2008","12",25,-2.2,-3.9
"718","2008","12",25,-0.6,-13.9
"719","2008","12",51,-4.4,-13.9
"720","2008","12",25,0.6,-13.9
"721","2009","01",25,-3.9,-10
"722","2009","01",3,2.2,-18.9
"723","2009","01",3,-12.2,-18.9
"724","2009","01",13,-6.7,-17.2
"725","2009","01",13,-1.1,-8.3
"726","2009","01",3,-4.4,-17.2
"727","2009","01",3,-6.1,-13.9
"728","2009","01",74,-3.9,-12.2
"729","2009","12",33,3.3,-3.3
